0	21.401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.662	12.207	0	0	0	0	0	21.213	0	24.698	0	0	0	27.893	0	0	28.601	0	0	12.166	23.087	0	0	28	0	0	0	0	15.811	0	0	0	21.213	0	0	0	0	0	28.46	0	0	0	0	0
21.401	0	18.868	0	27.019	0	0	0	0	0	12.649	0	22	0	0	0	11.402	9.2195	0	0	0	0	0	28.071	0	27.857	0	0	0	17.205	29.206	0	7.2111	0	27.586	0	12.53	0	29.833	17.029	0	0	28.46	0	0	0	17.117	0	10.77	0	0	0	0	26.306	29.53	0	0	0	0	0
0	18.868	0	0	0	0	19.313	0	0	0	20.1	0	20	0	26.249	0	28.32	27.803	26.627	0	0	0	0	0	20	0	0	0	0	20.1	13.153	0	12.649	0	0	0	27.295	0	13.342	29.017	25.08	28.018	0	0	0	0	19.313	0	26.683	0	0	0	25	17.205	0	25	0	23.345	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.083	26	29.155	0	0	0	0	0	18.028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.411	0	5.3852	0	0	0	0	24.187	0	0	0
0	27.019	0	0	0	0	0	0	18.439	0	0	22.204	0	23.087	0	0	22.361	26.926	0	0	0	0	0	0	0	8.6023	0	0	0	11.402	0	0	29.967	0	2.2361	0	0	27.659	0	0	0	0	0	0	22.847	0	0	0	0	0	0	0	0	19.235	5.831	0	0	0	18.974	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.811	23.324	0	0	0	6.4031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.825	0	0	0	0	0	0	0	0	24.352	0	0	0
0	0	19.313	0	0	0	0	0	0	0	0	0	23.77	0	0	0	0	0	15.297	0	24.759	0	18.358	0	10.817	0	0	0	17.72	0	7.0711	0	29.069	0	0	0	0	0	6.4031	0	17.72	10.296	0	0	0	0	27.313	25.02	0	28.601	0	0	20.248	0	0	13.342	18.385	27.203	0	0
0	0	0	0	0	0	0	0	0	5.099	0	0	0	0	25.02	0	0	0	0	14.866	0	0	0	0	0	0	0	0	0	0	0	0	0	17.088	0	0	0	0	0	0	0	0	0	0	0	6.7082	0	0	0	0	0	0	0	0	0	0	0	27.459	0	11
0	0	0	0	18.439	0	0	0	0	0	0	8.0623	0	5	19.925	0	0	0	0	22.136	0	0	0	0	0	26.571	0	0	0	22.136	0	22.023	0	19.209	16.279	0	0	13.454	0	0	0	0	0	18.868	0	0	0	0	0	0	0	0	0	15.811	22.847	0	0	23.345	10	0
0	0	0	0	0	0	0	5.099	0	0	0	0	0	0	26.306	0	0	0	0	19.416	0	0	0	0	0	0	0	0	0	0	0	0	0	20.248	0	0	0	0	0	0	0	0	0	0	0	11.705	0	29.833	0	0	0	0	29.155	0	0	0	0	28	0	16.031
0	12.649	20.1	0	0	0	0	0	0	0	0	0	10.77	0	0	20.591	23.022	19.105	0	0	0	0	0	27.785	0	0	0	0	0	28.425	24.597	0	10	0	0	0	9.2195	0	25.495	9.0554	23.259	0	15.811	0	0	0	5.3852	0	10	0	27.459	0	0	0	0	0	0	0	0	0
